Person Number,Location Code,Craft Vs Professionals,Area,Business Function
537329,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
536669,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
521495,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
543364,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536487,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
532347,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
505376,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
505182,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Project Management & Controls
535133,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
546432,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
520509,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
505167,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
522245,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
512815,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
545990,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513668,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536592,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
508860,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
526169,Campeche MX,PROFESSIONAL,"North, Central and South America",Project Management & Controls
543360,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536784,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
546712,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",QHSES
539914,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
543438,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
504911,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513678,One McDermott Center,PROFESSIONAL,"North, Central and South America",Engineering
536496,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Project Management & Controls
538799,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
541603,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
