Person Number,Location Code,Craft Vs Professionals,Area,Business Function
506620,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511980,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
505455,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516929,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516127,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
521769,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522699,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513702,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500353,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
513894,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501445,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
513231,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
543592,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
544974,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
504811,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503497,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503805,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
506818,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
506608,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501948,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510710,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512045,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
512454,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513657,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510198,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
502161,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
506734,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503850,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515658,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512651,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
506084,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501262,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
501520,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501017,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512117,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
513701,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507170,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513647,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510184,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
519011,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
521100,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
506138,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512991,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516744,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
508720,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508282,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
501156,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
512004,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
535211,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
541094,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
509473,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
506859,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
506928,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512368,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517489,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516788,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509641,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
512706,Dubai AE FO1 Jebel Ali,CRAFT,Marine,Marine
506866,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512953,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515284,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516442,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516210,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512389,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512418,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
506640,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
508331,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516425,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512008,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
516501,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Area Operations Management
506659,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517084,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512639,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Marine,Marine
543606,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
544182,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517433,Doha QA,PROFESSIONAL,Middle East and North Africa,Supply Chain
544712,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
506475,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508362,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511714,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Communications/Marketing
507218,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504563,Dubai AE P42 Jebel Ali,PROFESSIONAL,Corporate,Finance
512816,Dubai AE FO1 Jebel Ali,CRAFT,Marine,Marine
505595,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Commercial
519490,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Communications/Marketing
501580,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
504453,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
512899,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
510971,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511396,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513200,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510878,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509475,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507570,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Marine,Marine
503074,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512487,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
546518,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507062,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
545868,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
517473,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513434,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517569,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515157,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504824,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
508008,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513562,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517484,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508252,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
506830,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511041,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Marine,Marine
500347,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509522,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500193,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511067,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515001,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
542262,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
543630,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
540830,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
517144,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501700,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515530,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500841,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508236,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
509378,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
520525,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
538924,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
522364,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
523755,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511986,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
514963,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515361,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512246,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
546119,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
545095,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
505871,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509929,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510679,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Supply Chain
515481,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509989,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
502184,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
537812,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
521946,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
520851,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522540,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
517927,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
523434,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516136,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503357,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516380,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518930,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
545600,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501319,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
501460,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
506110,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
506096,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507577,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501563,Dubai AE FO1 Jebel Ali,CRAFT,Marine,Marine
501632,Dubai AE FO1 Jebel Ali,CRAFT,Marine,Marine
500740,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Marine,Marine
504936,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
501911,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513279,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
525992,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518947,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
520839,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
524452,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
510028,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
510183,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516452,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
500075,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
544320,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508807,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507864,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507678,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510086,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
506662,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515376,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508813,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515506,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510810,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
512199,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512684,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
505538,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
505903,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
518463,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515958,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511747,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Marine,Marine
521506,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503860,Dubai AE FO1 Jebel Ali,CRAFT,Marine,Marine
510727,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
547608,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
502882,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510952,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Supply Chain
510997,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
503070,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501130,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
505881,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500770,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515532,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510109,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
523808,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522740,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512843,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
504179,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510080,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522300,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Supply Chain
536341,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
507244,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507930,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516160,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
502801,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Human Resources
510427,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
521291,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512467,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507162,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522378,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522600,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510314,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Human Resources
521731,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510176,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
514042,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Project Management & Controls
523806,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517500,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515551,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510439,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
513418,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500387,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
509708,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
544340,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
524181,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
501639,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518474,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
515574,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512828,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510020,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
505645,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
518606,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510687,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Human Resources
502367,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507373,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
512457,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
519214,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Communications/Marketing
501990,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
543970,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507803,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518360,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509666,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Communications/Marketing
505859,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504280,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
538117,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
505070,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509088,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504190,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516846,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517445,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512252,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
503919,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
503968,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
516678,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511693,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
514677,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
537433,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Commercial
543617,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
504350,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500187,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
524086,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
525485,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
509650,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
543974,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518378,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511063,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507222,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510560,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
516585,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512806,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507512,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518638,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507836,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509461,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
502000,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
501357,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
510826,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
503160,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500826,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
518121,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509985,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
543605,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
538337,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
517760,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
530960,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Onshore Construction
518655,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517916,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Finance
513841,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
507958,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504788,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Fabrication
511847,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
505828,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
505835,Abu Dhabi AE,PROFESSIONAL,Middle East and North Africa,Human Resources
501959,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500406,Dubai AE P42 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Supply Chain
508267,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
509722,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
512769,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
522140,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
508994,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Engineering
511719,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
523205,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
515553,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511478,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
500647,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,Marine
525515,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504543,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
525637,Dubai AE FO1 Jebel Ali,PROFESSIONAL,Middle East and North Africa,QHSES
516173,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
511785,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
517070,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
504134,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
507982,Dubai AE FO1 Jebel Ali,CRAFT,Middle East and North Africa,Fabrication
